k,p_k,horizon_N,defects,rho_N,wall_time_s
4154,39461,1560171001,0,0.0,4.052031517028809
4155,39499,1560487009,0,0.0,4.013633966445923
4156,39503,1560961081,0,0.0,4.02127742767334
4157,39509,1561119121,0,0.0,4.038171291351318
4158,39511,1561909441,0,0.0,3.98330020904541
4159,39521,1563490681,0,0.0,4.029546737670898
4160,39541,1564281601,0,0.0,3.97694730758667
4161,39551,1565230969,0,0.0,3.982455015182495
4162,39563,1565705761,0,0.0,3.9875595569610596
4163,39569,1566655561,0,0.0,3.98362398147583
4164,39581,1568714449,0,0.0,3.749556541442871
4165,39607,1569665161,0,0.0,4.014738082885742
4166,39619,1569982129,0,0.0,4.038587331771851
4167,39623,1570616161,0,0.0,4.07563042640686
4168,39631,1572836281,0,0.0,4.030616283416748
4169,39659,1573470889,0,0.0,4.2072179317474365
4170,39667,1573788241,0,0.0,4.028122186660767
4171,39671,1574423041,0,0.0,4.055383682250977
4172,39679,1576328209,0,0.0,4.032269239425659
4173,39703,1576804681,0,0.0,4.022870779037476
4174,39709,1577598961,0,0.0,4.0304625034332275
4175,39719,1578234529,0,0.0,4.111347436904907
4176,39727,1578711289,0,0.0,3.7794647216796875
4177,39733,1579983001,0,0.0,4.080779552459717
4178,39749,1580937121,0,0.0,4.13841986656189
4179,39761,1581573361,0,0.0,4.095425367355347
4180,39769,1582368841,0,0.0,4.09515118598938
4181,39779,1583323681,0,0.0,4.051349639892578
4182,39791,1583960401,0,0.0,4.113260984420776
4183,39799,1585712041,0,0.0,4.117124557495117
4184,39821,1586189929,0,0.0,4.120081663131714
4185,39827,1586349241,0,0.0,4.104937791824341
4186,39829,1587145921,0,0.0,4.111782550811768
4187,39839,1587305281,0,0.0,4.0907142162323
4188,39841,1587783409,0,0.0,3.901827812194824
4189,39847,1588580449,0,0.0,4.158229112625122
4190,39857,1589058769,0,0.0,4.067551136016846
4191,39863,1589537161,0,0.0,4.091365098953247
4192,39869,1590175129,0,0.0,4.065506935119629
4193,39877,1590653689,0,0.0,4.047474145889282
4194,39883,1590972769,0,0.0,4.030444860458374
4195,39887,1592089801,0,0.0,4.075325965881348
4196,39901,1594325041,0,0.0,4.0854692459106445
4197,39929,1594963969,0,0.0,4.136335611343384
4198,39937,1596242209,0,0.0,4.084463119506836
4199,39953,1597680841,0,0.0,3.7730212211608887
4200,39971,1598320441,0,0.0,4.080551862716675
4201,39979,1598640289,0,0.0,4.085983753204346
4202,39983,1599120121,0,0.0,4.198701858520508
4203,39989,1600720081,0,0.0,4.13110613822937
4204,40009,1601040169,0,0.0,4.077229022979736
4205,40013,1602480961,0,0.0,4.161358118057251
4206,40031,1602961369,0,0.0,4.095130443572998
4207,40037,1603121521,0,0.0,4.127344369888306
4208,40039,1605043969,0,0.0,4.105650186538696
4209,40063,1606967569,0,0.0,4.114266872406006
4210,40087,1607448649,0,0.0,4.130168676376343
4211,40093,1607929801,0,0.0,3.835724115371704
4212,40099,1608892321,0,0.0,4.180669069290161
4213,40111,1609855129,0,0.0,4.145234107971191
4214,40123,1610176129,0,0.0,4.1949687004089355
4215,40127,1610336641,0,0.0,4.157939672470093
4216,40129,1612102801,0,0.0,4.145131349563599
4217,40151,1612263409,0,0.0,4.138741493225098
4218,40153,1613066569,0,0.0,4.121591329574585
4219,40163,1613548561,0,0.0,4.2040863037109375
4220,40169,1614191329,0,0.0,4.1366660594940186
4221,40177,1615155721,0,0.0,4.126967906951904
4222,40189,1615477249,0,0.0,4.120413541793823
4223,40193,1617085369,0,0.0,3.839977979660034
4224,40213,1618533361,0,0.0,4.190825939178467
4225,40231,1619016169,0,0.0,4.201434850692749
4226,40237,1619338081,0,0.0,4.153961658477783
4227,40241,1620304009,0,0.0,4.188647985458374
4228,40253,1622236729,0,0.0,4.215649604797363
4229,40277,1622720089,0,0.0,4.1695005893707275
4230,40283,1623203521,0,0.0,4.160616874694824
4231,40289,1627557649,0,0.0,4.213510990142822
4232,40343,1628203201,0,0.0,4.190248727798462
4233,40351,1628687449,0,0.0,3.93113374710083
4234,40357,1629010321,0,0.0,4.1643431186676025
4235,40361,1631109769,0,0.0,4.192526340484619
4236,40387,1634018929,0,0.0,4.210218667984009
4237,40423,1634342329,0,0.0,4.224961519241333
4238,40427,1634504041,0,0.0,3.925590753555298
4239,40429,1634827489,0,0.0,4.224210500717163
4240,40433,1636930681,0,0.0,4.223209857940674
4241,40459,1637901841,0,0.0,4.2497148513793945
4242,40471,1638873289,0,0.0,4.24750018119812
4243,40483,1639197169,0,0.0,4.2205493450164795
4244,40487,1639683049,0,0.0,4.274777173995972
4245,40493,1640169001,0,0.0,4.23002552986145
4246,40499,1640817049,0,0.0,4.290968656539917
4247,40507,1641789361,0,0.0,4.228477478027344
4248,40519,1642599841,0,0.0,4.2485551834106445
4249,40529,1642761961,0,0.0,3.9358692169189453
4250,40531,1643734849,0,0.0,4.238224744796753
4251,40543,1645032481,0,0.0,4.277609348297119
4252,40559,1646492929,0,0.0,4.243990182876587
4253,40577,1646979889,0,0.0,4.229201793670654
4254,40583,1647629281,0,0.0,4.284497499465942
4255,40591,1648116409,0,0.0,4.25456166267395
4256,40597,1649090881,0,0.0,4.257885932922363
4257,40609,1650553129,0,0.0,4.247189044952393
4258,40627,1651365769,0,0.0,4.233392953872681
4259,40637,1651528321,0,0.0,4.253600120544434
4260,40639,1655920249,0,0.0,4.335016250610352
4261,40693,1656245809,0,0.0,3.9926393032073975
4262,40697,1656408601,0,0.0,4.22590708732605
4263,40699,1657222681,0,0.0,4.320558309555054
4264,40709,1659666121,0,0.0,4.306588411331177
4265,40739,1660644001,0,0.0,4.233410358428955
4266,40751,1661296081,0,0.0,4.310133457183838
4267,40759,1661622169,0,0.0,4.305222749710083
4268,40763,1662274441,0,0.0,4.256884574890137
4269,40771,1663579369,0,0.0,4.254494667053223
4270,40787,1664721601,0,0.0,4.23701548576355
4271,40801,1665700969,0,0.0,4.3681724071502686
4272,40813,1666190761,0,0.0,4.316987991333008
4273,40819,1666517329,0,0.0,4.046525716781616
4274,40823,1667007241,0,0.0,4.4029762744903564
4275,40829,1667987281,0,0.0,4.346222162246704
4276,40841,1668477409,0,0.0,4.374717712402344
4277,40847,1668640801,0,0.0,4.4101903438568115
4278,40849,1668967609,0,0.0,4.442251920700073
4279,40853,1670111689,0,0.0,4.377387762069702
4280,40867,1671092641,0,0.0,4.3623738288879395
4281,40879,1671419689,0,0.0,4.3543784618377686
4282,40883,1672564609,0,0.0,4.336935043334961
4283,40897,1673055409,0,0.0,4.288222312927246
4284,40903,1675019329,0,0.0,4.283555030822754
4285,40927,1675510489,0,0.0,3.9891278743743896
4286,40933,1676001721,0,0.0,4.4759862422943115
4287,40939,1676820601,0,0.0,4.381636381149292
4288,40949,1677803521,0,0.0,4.350809812545776
4289,40961,1678786729,0,0.0,4.432048320770264
4290,40973,1680426049,0,0.0,4.388650178909302
4291,40993,1681902121,0,0.0,4.4296934604644775
4292,41011,1682394289,0,0.0,4.296432733535767
4293,41017,1682886529,0,0.0,4.3343236446380615
4294,41023,1684199521,0,0.0,4.282794952392578
4295,41039,1684856209,0,0.0,4.322550535202026
4296,41047,1685184601,0,0.0,4.2857506275177
4297,41051,1685677249,0,0.0,4.059816122055054
4298,41057,1687319929,0,0.0,4.449458599090576
4299,41077,1687648561,0,0.0,4.350998878479004
4300,41081,1690278769,0,0.0,4.402056932449341
4301,41113,1690607689,0,0.0,4.375136852264404
4302,41117,1691759161,0,0.0,4.449336051940918
4303,41131,1692581881,0,0.0,4.404218435287476
4304,41141,1692746449,0,0.0,4.346104860305786
4305,41143,1693240201,0,0.0,4.372964143753052
4306,41149,1694227921,0,0.0,4.341415166854858
4307,41161,1695545329,0,0.0,4.324275255203247
4308,41177,1695710041,0,0.0,4.142538785934448
4309,41179,1696039489,0,0.0,4.385539770126343
4310,41183,1696533721,0,0.0,4.431783199310303
4311,41189,1697522401,0,0.0,4.32764196395874
4312,41201,1697687209,0,0.0,4.3555006980896
4313,41203,1698511369,0,0.0,4.429195404052734
4314,41213,1699170841,0,0.0,4.346506357192993
4315,41221,1699665529,0,0.0,4.349644184112549
4316,41227,1699995361,0,0.0,4.382435083389282
4317,41231,1700160289,0,0.0,4.357458591461182
4318,41233,1700985049,0,0.0,4.367311000823975
4319,41243,1702140049,0,0.0,4.344845533370972
4320,41257,1702635169,0,0.0,4.162068605422974
4321,41263,1703130361,0,0.0,4.351267099380493
4322,41269,1704120961,0,0.0,4.471442461013794
4323,41281,1705607401,0,0.0,4.369220733642578
4324,41299,1708416889,0,0.0,4.37469744682312
4325,41333,1709078281,0,0.0,4.399874925613403
4326,41341,1709905201,0,0.0,4.390779256820679
4327,41351,1710401449,0,0.0,4.385696649551392
4328,41357,1712387161,0,0.0,4.379805326461792
4329,41381,1712883769,0,0.0,4.4379353523254395
4330,41387,1713049321,0,0.0,4.445146560668945
4331,41389,1713877201,0,0.0,4.227475643157959
4332,41399,1714870921,0,0.0,4.491543292999268
4333,41411,1715036569,0,0.0,4.454046964645386
4334,41413,1717522249,0,0.0,4.575281620025635
4335,41443,1718351209,0,0.0,4.46770167350769
4336,41453,1719512089,0,0.0,4.438900947570801
4337,41467,1720507441,0,0.0,4.449156045913696
4338,41479,1721503081,0,0.0,4.283759832382202
4339,41491,1722831049,0,0.0,4.4160356521606445
4340,41507,1723329169,0,0.0,4.423431396484375
4341,41513,1723827361,0,0.0,4.419614315032959
4342,41519,1723993441,0,0.0,4.471398591995239
4343,41521,1725488521,0,0.0,4.427576065063477
4344,41539,1725820849,0,0.0,4.521089553833008
4345,41543,1726319401,0,0.0,4.476154327392578
4346,41549,1728813241,0,0.0,4.1553497314453125
4347,41579,1729977649,0,0.0,4.464827537536621
4348,41593,1730310409,0,0.0,4.569471836090088
4349,41597,1730809609,0,0.0,4.456455707550049
4350,41603,1731308881,0,0.0,4.494457721710205
4351,41609,1731475321,0,0.0,4.507287979125977
4352,41611,1731974689,0,0.0,4.422775745391846
4353,41617,1732307641,0,0.0,4.419881105422974
4354,41621,1732807129,0,0.0,4.5242109298706055
4355,41627,1733972881,0,0.0,4.456870079040527
4356,41641,1734472609,0,0.0,4.442859411239624
4357,41647,1734805801,0,0.0,4.497634172439575
4358,41651,1735472281,0,0.0,4.194766998291016
4359,41659,1736305561,0,0.0,4.478584289550781
4360,41669,1737305761,0,0.0,4.589686393737793
4361,41681,1737805969,0,0.0,4.473613500595093
4362,41687,1740474961,0,0.0,4.510953426361084
4363,41719,1741309441,0,0.0,4.480584383010864
